SYMBOL,SYMBOL P/E,ADJUSTED P/E
SADBHAV,1.58,10.80
SAKUMA,28.67,28.67
KEC,21.91,20.28
JKCEMENT,42.19,40.80
INDOTECH,34.91,34.91
M&MFIN,16.54,15.94
BLKASHYAP,795.76,29.60
VISACHROME,0.57,
NITCO,94.63,83.03
CENTURYPLY,63.94,62.64
KEI,53.15,53.15
VAKRANGEE,59.14,59.30
SOLARINDS,95.24,95.20
GALLANTT,33.08,33.08
UTTAMSUGAR,9.09,8.99
KKCL,20.13,20.13
SUNTV,13.59,13.14
GPIL,21.17,20.81
RSYSTEMS,13.17,12.15
EMKAY,47.23,47.23
BALPHARMA,19.94,19.94
SWELECTES,16.72,16.22
KAMDHENU,11.74,11.74
RATNAMANI,34.14,33.66
PIONEEREMB,112.58,
JKLAKSHMI,16.82,16.17
PFOCUS,60.60,56.84
MUNJALAU,22.51,25.91
EMAMILTD,23.32,23.05
GMRAIRPORT,521.35,396.13
TECHM,29.53,28.42
GRINDWELL,54.03,54.03
VOLTAMP,45.94,45.94
ANTELOPUS,31.23,31.23
ACE,28.64,28.64
ANANTRAJ,34.98,34.98
TALBROAUTO,30.10,30.10
ALICON,31.02,29.18
GEECEE,17.16,17.16
JMFINANCIL,10.66,10.51
FIEMIND,23.06,23.06
DCBBANK,8.14,8.14
INSPIRISYS,10.71,10.17
GTLINFRA,2.15,
NAUKRI,42.69,43.62
VGL,26.32,26.32
GESHIP,6.72,6.72
TORNTPOWER,28.56,28.56
MANALIPETC,8.32,15.98
LTFOODS,21.39,21.39
DONEAR,10.24,10.24
RUCHIRA,11.52,11.52
SOBHA,80.25,80.25
VENUSREM,22.57,22.57
JINDRILL,9.07,8.89
HIRECT,94.18,91.91
NFL,21.52,21.52
PLASTIBLEN,12.50,12.50
PARACABLES,34.94,34.96
HBLENGINE,22.79,22.20
TANLA,14.25,14.25
AVTNPL,16.52,16.52
ZEEMEDIA,277.40,78.58
VEEDOL,15.89,15.89
LUMAXTECH,30.16,29.31
SARLAPOLY,,16.50
PTL,12.13,12.13
WANBURY,14.73,14.00
AUTOIND,10.34,23.76
GANDHITUBE,15.33,15.16
PITTIENG,29.70,29.70
UNOMINDA,63.00,61.79
IZMO,30.19,30.19
HUBTOWN,17.74,17.74
CTE,126.78,126.78
TIIL,19.61,19.61
ORIENTBELL,41.20,37.98
PGIL,33.70,33.58
REDINGTON,16.71,15.53
TTL,669.70,669.70
FSL,25.19,22.73
PFC,4.05,4.05
SMSPHARMA,45.07,45.07
INDIANB,9.24,8.84
ORIENTALTL,23.27,17.44
IDEA,4.34,
PAGEIND,61.01,59.02
