SYMBOL,SYMBOL P/E,ADJUSTED P/E
RTNPOWER,90.53,90.53
AMRUTANJAN,26.69,23.89
SUNTECK,22.66,22.66
ZYDUSWELL,97.11,78.01
DEN,9.26,9.26
SHILPAMED,51.02,57.76
SARDAEN,16.37,16.53
REFEX,18.63,18.63
GILLANDERS,19.95,19.95
AHLUCONT,21.71,21.82
DLINKINDIA,15.63,15.63
JSWENERGY,36.22,35.18
GODREJPROP,32.49,32.84
DBCORP,10.67,10.67
HINDCOPPER,50.87,50.87
BEARDSELL,9.50,9.50
MMTC,45.41,
NESTLEIND,77.44,79.95
TRF,,51.67
WHIRLPOOL,33.39,31.25
UNITEDTEA,10.66,10.66
JUBLFOOD,76.16,73.76
VASCONEQ,15.93,15.93
THANGAMAYL,56.36,56.09
EMMBI,22.44,20.29
DBREALTY,87.75,649.99
HATHWAY,26.69,26.69
TEXMOPIPES,9.26,9.26
MANINFRA,21.15,21.15
LGBBROSLTD,15.74,15.84
PERSISTENT,42.79,41.31
ASIANHOTNR,,471.28
ISFT,9.56,9.56
KIRLOSBROS,41.13,37.64
KSL,15.54,15.20
SJVN,42.65,42.65
SUNDARAM,18.93,21.77
KIRLOSIND,11.61,11.36
MANAPPURAM,30.75,30.75
UMESLTD,48.77,45.89
TI,534.15,43.52
HMVL,8.10,6.72
IMFA,17.30,17.30
BLISSGVS,39.75,39.28
AHLWEST,10.05,7.61
AHLEAST,,30.58
BAJAJCON,32.43,32.43
UGARSUGAR,32.81,32.81
PRAKASHSTL,84.91,84.91
GPPL,14.68,15.13
ADFFOODS,36.95,35.07
WELINV,223.71,223.71
WAAREEINDO,6.55,6.55
KILITCH,21.66,21.66
DEEPAKNTR,43.14,42.45
CPCAP,4.57,4.57
GREENPOWER,16.35,19.11
RAMKY,9.60,12.64
CANTABIL,22.35,22.35
WABAG,34.62,34.37
ASHOKA,1.38,14.56
BEDMUTHA,49.53,49.53
JWL,62.31,58.11
OBEROIRLTY,27.17,26.98
PRESTIGE,53.47,53.47
SHAH,31.04,31.04
CGCL,26.24,26.24
RESPONIND,34.23,34.12
COALINDIA,8.69,8.69
IOLCP,34.99,32.89
GRAVITA,35.69,35.69
JINDWORLD,50.67,51.46
PENIND,16.60,16.60
RPPINFRA,25.84,28.99
JAMNAAUTO,23.21,22.43
SUMEETINDS,75.37,73.50
MOIL,20.76,20.76
ZEELEARN,7.37,15.30
A2ZINFRA,45.30,39.59
KIRLOSENG,62.46,59.80
RKDL,332.28,36.85
PSB,13.27,13.27
FMNL,9.10,9.10
SURANASOL,119.25,119.25
SHEKHAWATI,5.02,5.02
KICL,64.49,48.39
SUMMITSEC,15.78,15.78
STEL,51.23,51.23
TEXRAIL,27.85,27.43
HFCL,104.54,104.60
LOVABLE,14.27,14.27
PFS,6.04,6.00
MUTHOOTFIN,11.34,11.34
VADILALIND,31.43,31.43
SYMPHONY,,43.92
PIIND,30.36,32.45
RELAXO,50.91,50.91
OMINFRAL,40.63,40.63
VSTTILLERS,37.59,37.60
DELPHIFX,64.72,45.74
KARMAENG,41.35,102.11
ASHIANA,32.27,32.27
DHANUKA,16.15,16.15
MAITHANALL,6.69,6.69
RUSHIL,68.81,68.81
INVENTURE,24.84,27.12
LTF,24.25,24.10
WINDMACHIN,,728.96
IBULLSLTD,20.30,17.06
BODALCHEM,16.43,16.42
GAYAPROJ,0.49,11.06
ASAHISONG,18.05,18.05
FILATEX,17.71,17.71
BROOKS,35.41,35.41
TDPOWERSYS,73.75,73.75
APLLTD,24.61,22.80
VASWANI,41.78,41.78
PGEL,91.60,91.60
PANAMAPET,12.12,12.12
PAISALO,28.29,28.22
ONELIFECAP,24.76,24.76
SHAKTIPUMP,26.36,26.36
TRITURBINE,56.72,55.01
INDOTHAI,42.61,42.61
ESSARSHPNG,,67.41
DSSL,18.18,18.18
JISLDVREQS,5.24,0.91
POLYMED,55.42,54.57
RUPA,18.45,17.42
VIKASECO,269.80,269.80
APLAPOLLO,41.37,41.37
KANANIIND,11.67,11.67
MINDACORP,58.92,58.84
THOMASCOTT,20.66,19.78
DBSTOCKBRO,43.80,43.80
IRFC,16.48,16.48
COMPUSOFT,36.11,352.85
RHIM,,44.04
SCHNEIDER,149.25,144.53
NDL,10.49,10.49
NBCC,35.40,38.45
TBZ,8.45,8.45
VSSL,23.56,23.56
SWANCORP,36.44,36.44
SPECIALITY,30.30,26.67
CINELINE,22.61,21.74
SAMPANN,20.14,20.14
PROZONER,37.88,37.88
THEJO,42.25,40.71
MAYURUNIQ,18.63,18.63
ROSSELLIND,14.09,13.91
DUCON,9.02,9.02
TVSHLTD,8.26,8.18
ZUARI,1.29,
VETO,10.04,10.04
CARERATING,28.98,28.98
PCJEWELLER,12.49,12.48
INDUSTOWER,14.98,14.98
VMART,47.99,47.79
