SYMBOL,SYMBOL P/E,ADJUSTED P/E
RAJTV,76.57,76.57
JKTYRE,14.54,11.76
ASTRAL,73.76,71.60
NAHARSPING,45.55,45.55
NAHARPOLY,10.01,10.01
NCLIND,6.99,6.62
BALAMINES,41.65,41.65
BANSWRAS,16.09,13.83
ICRA,25.40,24.81
PHOENIXLTD,46.20,45.51
NDLVENTURE,462.64,462.64
ZENITHSTL,18.02,25.19
BFUTILITIE,7.43,7.43
FORTIS,68.35,67.44
SRHHYPOLTD,9.16,8.21
WEBELSOLAR,14.30,14.27
TGBHOTELS,17.47,17.47
HILTON,31.57,31.57
INSECTICID,12.89,12.89
KMSUGAR,4.76,4.76
NAVINFLUOR,58.11,57.63
TIMETECHNO,20.84,20.84
NAGREEKEXP,23.62,23.62
NELCAST,24.16,24.16
V2RETAIL,49.52,57.29
DLF,60.91,65.84
TARMAT,20.46,20.46
SPARC,4.52,4.48
SIGMAADV,35.20,34.26
ADSL,16.56,16.32
ALPA,9.32,9.32
CENTRALBK,6.17,6.17
ASIANTILES,161.07,161.07
TAKE,78.24,78.24
KPRMILL,41.87,41.87
CIEINDIA,17.57,17.57
PURVA,88.22,88.22
MOTILALOFS,26.47,26.47
INDOWIND,,213.56
NAGREEKCAP,3.86,3.86
KSCL,14.53,14.53
CENTUM,450.45,95.48
POWERGRID,16.69,16.69
CCCL,11.17,
SUPREMEINF,0.14,
MAANALU,52.88,52.88
IL&FSENGG,752.40,130.16
DELTACORP,20.02,19.43
BAJAJELEC,,89.40
ENERGYDEV,,15.24
CERA,37.91,37.41
RELIGARE,117.33,117.33
BVCL,307.97,307.97
ADANIPORTS,32.53,32.08
EDELWEISS,16.72,14.45
RGL,14.05,12.77
KAUSHALYA,88.08,88.08
COLPAL,42.81,42.22
JYOTHYLAB,21.88,21.88
MADHAV,313.61,313.61
KALYANIFRG,23.50,23.50
HITECHCORP,36.22,33.48
ECLERX,24.78,24.78
TARIL,32.92,32.92
BRIGADE,23.66,23.29
MANAKSIA,6.91,6.91
PATINTLOG,10.03,10.03
PPAP,9.59,692.93
ARIES,10.47,10.47
AMBIKCO,13.67,13.67
KAVDEFENCE,277.45,277.45
CEATLTD,23.76,21.53
BIRLAMONEY,13.75,13.17
RPOWER,,161.51
JKIL,9.53,9.33
CORDSCABLE,12.75,12.75
KNRCON,8.13,8.13
SEPC,21.56,21.13
BANG,6.41,4.94
IRB,27.85,26.49
NMDC,9.91,9.91
GSS,,14.59
NAHARCAP,23.03,23.03
RECLTD,5.94,5.93
VGUARD,41.20,39.26
NESCO,18.03,18.03
DPSCLTD,54.11,54.11
TITAGARH,54.69,54.69
KIRIINDUS,0.49,5.24
BAJAJFINSV,15.28,15.08
BAJAJ-AUTO,28.29,28.21
DIGISPICE,19.96,18.63
